name,entity_link
hustlers (2019),<http://dbpedia.org/resource/Hustlers_(film)>
deadpool (2016),<http://dbpedia.org/resource/Deadpool_(film)>
a beautiful day in the neighborhood (2019),<http://dbpedia.org/resource/A_Beautiful_Day_in_the_Neighborhood>
skyscraper (2018),<http://dbpedia.org/resource/Skyscraper_(2018_film)>
san andreas (2015),<http://dbpedia.org/resource/San_Andreas_(film)>
die hard (1988),<http://dbpedia.org/resource/Die_Hard>
white christmas (1954),<http://dbpedia.org/resource/White_Christmas_(film)>
home alone (1990),<http://dbpedia.org/resource/Home_Alone>
santa claus (1959),<http://dbpedia.org/resource/Santa_Claus_(1959_film)>
elf (2003),<http://dbpedia.org/resource/Elf_(film)>
rise of the guardians (2012),<http://dbpedia.org/resource/Rise_of_the_Guardians>
tooth fairy (2010),<http://dbpedia.org/resource/Tooth_Fairy_(2010_film)>
how the grinch stole christmas! (1966),<http://dbpedia.org/resource/How_the_Grinch_Stole_Christmas!_(TV_special)>
happy days (1974),<http://dbpedia.org/resource/Happy_Days>
the irishman (2019),<http://dbpedia.org/resource/The_Irishman>
guilty by suspicion (1991),<http://dbpedia.org/resource/Guilty_by_Suspicion>
tell (2014),<http://dbpedia.org/resource/Tell_(2014_film)>
zombieland (2009),<http://dbpedia.org/resource/Zombieland>
halloween (2018),<http://dbpedia.org/resource/Halloween_(2018_film)>
annabelle (2014),<http://dbpedia.org/resource/Annabelle_(film)>
angel has fallen (2019),<http://dbpedia.org/resource/Angel_Has_Fallen>
olympus has fallen (2013),<http://dbpedia.org/resource/Olympus_Has_Fallen>
fallen (1998),<http://dbpedia.org/resource/Fallen_(1998_film)>
the year without a santa claus (1974),<http://dbpedia.org/resource/The_Year_Without_a_Santa_Claus>
greta (2018),<http://dbpedia.org/resource/Greta_(2018_film)>
desperate housewives (2004),<http://dbpedia.org/resource/Desperate_Housewives>
atomic blonde (2017),<http://dbpedia.org/resource/Atomic_Blonde>
lucy (2014),<http://dbpedia.org/resource/Lucy_(2014_film)>
mission: impossible (1996),<http://dbpedia.org/resource/Mission:_Impossible_(film)>
terminator (1984),<http://dbpedia.org/resource/Terminator_(character_concept)>
joker (2019),<http://dbpedia.org/resource/Joker_(2019_film)>
arthur (2011),<http://dbpedia.org/resource/Arthur_(2011_film)>
guardians of the galaxy (2014),<http://dbpedia.org/resource/Guardians_of_the_Galaxy_(film)>
spider (2002),<http://dbpedia.org/resource/Spider_(2002_film)>
captain america (1990),<http://dbpedia.org/resource/Saving_Private_Ryan>
avengers: endgame (2019),<http://dbpedia.org/resource/Avengers:_Endgame>
gambit (2012),<http://dbpedia.org/resource/Gambit_(2012_film)>
mario (2018),<http://dbpedia.org/resource/Mario_(2018_film)>
the wizard (1989),<http://dbpedia.org/resource/The_Wizard_(1989_film)>
holidays (2016),<http://dbpedia.org/resource/Holidays_(2016_film)>
last christmas (2019),<http://dbpedia.org/resource/Last_Christmas_(film)>
playing with fire (2019),<http://dbpedia.org/resource/Playing_with_Fire_(2019_film)>
stuber (2019),<http://dbpedia.org/resource/Stuber_(film)>
here (2011),<http://dbpedia.org/resource/Here_(2011_film)>
once upon a time in venice (2017),<http://dbpedia.org/resource/Once_Upon_a_Time_in_Venice>
gemini man (2019),<http://dbpedia.org/resource/Gemini_Man_(film)>
lost in space (2018),<http://dbpedia.org/resource/Lost_in_Space_(2018_TV_series)>
pineapple express (2008),<http://dbpedia.org/resource/Pineapple_Express_(film)>
john wick (2014),<http://dbpedia.org/resource/John_Wick_(film)>
the expendables (2010),<http://dbpedia.org/resource/The_Expendables_(2010_film)>
rush hour (1998),<http://dbpedia.org/resource/Rush_Hour_(1998_film)>
keanu (2016),<http://dbpedia.org/resource/Keanu_(film)>
matrix (1999),<http://dbpedia.org/resource/Black/Matrix>
dark phoenix (2019),<http://dbpedia.org/resource/Dark_Phoenix_(film)>
spider-man (2002),<http://dbpedia.org/resource/Spider-Man_(2002_film)>
spider-man: far from home (2019),<http://dbpedia.org/resource/Spider_(2002_film)>
cobra (1986),<http://dbpedia.org/resource/Cobra_(1986_film)>
star wars (1977),<http://dbpedia.org/resource/Star_Wars_(film)>
captain marvel (2019),<http://dbpedia.org/resource/Captain_Marvel_(film)>
black panther (2018),<http://dbpedia.org/resource/Black_Panther_(film)>
a dog's journey (2019),<http://dbpedia.org/resource/A_Dog's_Journey_(film)>
the art of racing in the rain (2019),<http://dbpedia.org/resource/The_Art_of_Racing_in_the_Rain_(film)>
the formula (1980),<http://dbpedia.org/resource/The_Formula_(1980_film)>
the notebook (2004),<http://dbpedia.org/resource/The_Notebook>
the wedding planner (2001),<http://dbpedia.org/resource/The_Wedding_Planner>
wine country (2019),<http://dbpedia.org/resource/Wine_Country_(film)>
anchorman (2004),<http://dbpedia.org/resource/Anchorman_(film_series)>
the campaign (2012),<http://dbpedia.org/resource/The_Campaign_(film)>
queen & slim (2019),<http://dbpedia.org/resource/Queen_&_Slim>
frozen (2013),<http://dbpedia.org/resource/Frozen_(2013_film)>
game of thrones (2011),<http://dbpedia.org/resource/Game_of_Thrones>
alien (1979),<http://dbpedia.org/resource/Alien_(film)>
looper (2012),<http://dbpedia.org/resource/Looper_(film)>
dark skies (2013),<http://dbpedia.org/resource/Dark_Skies_(2013_film)>
the matrix (1999),<http://dbpedia.org/resource/The_Matrix>
terminator: dark fate (2019),<http://dbpedia.org/resource/Terminator:_Dark_Fate>
arnold (1973),<http://dbpedia.org/resource/Arnold_(film)>
the lion king (2019),<http://dbpedia.org/resource/The_Lion_King_(2019_film)>
doctor sleep (2019),<http://dbpedia.org/resource/Doctor_Sleep_(2019_film)>
escape room (2019),<http://dbpedia.org/resource/Escape_Room_(2019_film)>
blade runner (1982),<http://dbpedia.org/resource/Blade_Runner>
deck the halls (2006),<http://dbpedia.org/resource/Deck_the_Halls_(2006_film)>
make the yuletide gay (2009),<http://dbpedia.org/resource/Make_the_Yuletide_Gay>
frozen ii (2019),<http://dbpedia.org/resource/Frozen_II>
shazam! (2019),<http://dbpedia.org/resource/Shazam!_(film)>
thor: ragnarok (2017),<http://dbpedia.org/resource/Thor:_Ragnarok>
happy gilmore (1996),<http://dbpedia.org/resource/Happy_Gilmore>
little nicky (2000),<http://dbpedia.org/resource/Little_Nicky>
wishmaster (1997),<http://dbpedia.org/resource/Wishmaster_(film)>
hellraiser (1987),<http://dbpedia.org/resource/Hellraiser>
the king (2019),<http://dbpedia.org/resource/The_King_(2019_film)>
cat's eye (1985),<http://dbpedia.org/resource/Cat's_Eye_(1985_film)>
gerald's game (2017),<http://dbpedia.org/resource/Gerald's_Game_(film)>
the shining (1980),<http://dbpedia.org/resource/The_Shining_(film)>
jack (1996),<http://dbpedia.org/resource/Jack_(1996_film)>
danny (2019),<http://dbpedia.org/resource/Danny_(2019_film)>
someone great (2019),<http://dbpedia.org/resource/Someone_Great_(film)>
chemistry (2011),<http://dbpedia.org/resource/Chemistry_(TV_series)>
always (1989),<http://dbpedia.org/resource/Always_(1989_film)>
bad boys for life (2020),<http://dbpedia.org/resource/Bad_Boys_for_Life>
parasite (2019),<http://dbpedia.org/resource/Parasite_(2019_film)>
hero (1992),<http://dbpedia.org/resource/Hero_(1992_film)>
stellar (1993),"<http://dbpedia.org/resource/Crouching_Tiger,_Hidden_Dragon>"
"crouching tiger, hidden dragon (2000)","<http://dbpedia.org/resource/Crouching_Tiger,_Hidden_Dragon>"
the journey (2017),<http://dbpedia.org/resource/The_Journey_(2017_film)>
the shadow (1994),<http://dbpedia.org/resource/The_Shadow_(1994_film)>
good boys (2019),<http://dbpedia.org/resource/Good_Boys_(film)>
superbad (2007),<http://dbpedia.org/resource/Superbad>
jojo rabbit (2019),<http://dbpedia.org/resource/Jojo_Rabbit>
